Simulation Number, 1  0  0, 0  0  1, 1  0  1,AspectRatio_ 0  0  1/ 1  0  1,AspectRatio_ 1  0  1/ 1  0  0
1.0,152.0,158.7,147.0,1.0795918367346937,0.9671052631578947
2.0,150.5,149.5,147.8,1.0115020297699593,0.9820598006644519
3.0,152.4,149.5,146.9,1.0176991150442478,0.9639107611548556
4.0,150.6,149.5,145.4,1.0281980742778543,0.9654714475431607
5.0,148.3,148.6,141.3,1.051663128096249,0.9527983816587997
6.0,146.8,152.0,140.7,1.080312722103767,0.9584468664850134
7.0,146.4,150.3,138.9,1.08207343412527,0.9487704918032787
8.0,148.2,152.8,139.0,1.0992805755395685,0.9379217273954117
9.0,144.9,143.6,138.8,1.0345821325648414,0.9579020013802623
10.0,150.5,146.1,140.7,1.0383795309168444,0.9348837209302325
11.0,144.5,149.5,141.4,1.0572842998585572,0.9785467128027682
12.0,145.2,150.3,139.7,1.0758768790264854,0.9621212121212122
13.0,145.4,149.5,138.9,1.0763138948884088,0.9552957359009628
14.0,144.6,147.8,139.0,1.0633093525179858,0.9612724757952974
15.0,146.1,152.8,140.7,1.085998578535892,0.9630390143737166
16.0,149.1,154.5,143.0,1.0804195804195804,0.9590878604963112
17.0,146.8,153.7,143.9,1.0681028492008338,0.9802452316076294
18.0,144.9,154.5,145.3,1.063317274604267,1.002760524499655
19.0,148.3,157.0,141.4,1.1103253182461104,0.9534726904922454
20.0,149.1,156.2,147.1,1.061862678450034,0.9865861837692823
21.0,147.5,160.4,143.9,1.1146629603891591,0.9755932203389831
22.0,146.4,158.7,146.9,1.0803267528931244,1.0034153005464481
23.0,147.6,162.1,148.6,1.0908479138627187,1.0067750677506775
24.0,149.8,162.1,148.6,1.0908479138627187,0.9919893190921227
25.0,148.7,162.9,151.1,1.0780939774983456,1.016139878950908
26.0,150.2,164.6,148.6,1.107671601615074,0.9893475366178429
27.0,153.9,168.8,147.1,1.1475186947654659,0.9558154645873943
28.0,154.2,168.8,150.3,1.1230871590153026,0.9747081712062259
29.0,152.4,169.6,149.4,1.1352074966532797,0.9803149606299213
30.0,155.7,173.0,150.3,1.1510312707917498,0.9653179190751446
31.0,154.6,172.1,150.2,1.1458055925432757,0.9715394566623544
