,Simulation Number, 1  0  0, 0  0  1, 1  0  1,AspectRatio_ 0  0  1/ 1  0  1,AspectRatio_ 1  0  1/ 1  0  0,S/M,M/L,CDA_Equation
0,1.0,152.0,158.7,147.0,1.0795918367346937,0.9671052631578947,0.9671052631578947,0.9577819785759295,4
1,2.0,150.5,149.5,147.8,1.0115020297699593,0.9820598006644519,0.9886287625418061,0.9933554817275747,3
2,3.0,152.4,149.5,146.9,1.0176991150442478,0.9639107611548556,0.9826086956521739,0.9809711286089239,3
3,4.0,150.6,149.5,145.4,1.0281980742778543,0.9654714475431607,0.9725752508361204,0.9926958831341302,3
4,5.0,148.3,148.6,141.3,1.051663128096249,0.9527983816587997,0.9527983816587997,0.9979811574697175,4
5,6.0,146.8,152.0,140.7,1.080312722103767,0.9584468664850134,0.9584468664850134,0.9657894736842106,4
6,7.0,146.4,150.3,138.9,1.08207343412527,0.9487704918032787,0.9487704918032787,0.9740518962075848,4
7,8.0,148.2,152.8,139.0,1.0992805755395685,0.9379217273954117,0.9379217273954117,0.9698952879581151,4
8,9.0,144.9,143.6,138.8,1.0345821325648414,0.9579020013802623,0.966573816155989,0.9910282953761214,3
9,10.0,150.5,146.1,140.7,1.0383795309168444,0.9348837209302325,0.9630390143737166,0.9707641196013289,3
10,11.0,144.5,149.5,141.4,1.0572842998585572,0.9785467128027682,0.9785467128027682,0.9665551839464883,4
11,12.0,145.2,150.3,139.7,1.0758768790264854,0.9621212121212122,0.9621212121212122,0.966067864271457,4
12,13.0,145.4,149.5,138.9,1.0763138948884088,0.9552957359009628,0.9552957359009628,0.9725752508361204,4
13,14.0,144.6,147.8,139.0,1.0633093525179858,0.9612724757952974,0.9612724757952974,0.9783491204330175,4
14,15.0,146.1,152.8,140.7,1.085998578535892,0.9630390143737166,0.9630390143737166,0.9561518324607329,4
15,16.0,149.1,154.5,143.0,1.0804195804195804,0.9590878604963112,0.9590878604963112,0.9650485436893204,4
16,17.0,146.8,153.7,143.9,1.0681028492008338,0.9802452316076294,0.9802452316076294,0.9551073519843853,4
17,18.0,144.9,154.5,145.3,1.063317274604267,1.002760524499655,0.9972470750172058,0.940453074433657,6
18,19.0,148.3,157.0,141.4,1.1103253182461104,0.9534726904922454,0.9534726904922454,0.9445859872611466,4
19,20.0,149.1,156.2,147.1,1.061862678450034,0.9865861837692823,0.9865861837692823,0.9545454545454546,4
20,21.0,147.5,160.4,143.9,1.1146629603891591,0.9755932203389831,0.9755932203389831,0.919576059850374,4
21,22.0,146.4,158.7,146.9,1.0803267528931244,1.0034153005464481,0.9965963240299524,0.9256458727158161,6
22,23.0,147.6,162.1,148.6,1.0908479138627187,1.0067750677506775,0.9932705248990579,0.9167180752621839,6
23,24.0,149.8,162.1,148.6,1.0908479138627187,0.9919893190921227,0.9919893190921227,0.9241209130166564,4
24,25.0,148.7,162.9,151.1,1.0780939774983456,1.016139878950908,0.9841164791528788,0.9275629220380601,6
25,26.0,150.2,164.6,148.6,1.107671601615074,0.9893475366178429,0.9893475366178429,0.9125151883353584,4
26,27.0,153.9,168.8,147.1,1.1475186947654659,0.9558154645873943,0.9558154645873943,0.9117298578199052,4
27,28.0,154.2,168.8,150.3,1.1230871590153026,0.9747081712062259,0.9747081712062259,0.9135071090047392,4
28,29.0,152.4,169.6,149.4,1.1352074966532797,0.9803149606299213,0.9803149606299213,0.8985849056603774,4
29,30.0,155.7,173.0,150.3,1.1510312707917498,0.9653179190751446,0.9653179190751446,0.8999999999999999,4
30,31.0,154.6,172.1,150.2,1.1458055925432757,0.9715394566623544,0.9715394566623544,0.8983149331783846,4
31,32.0,157.6,175.5,150.2,1.1684420772303596,0.9530456852791878,0.9530456852791878,0.898005698005698,4
32,33.0,156.5,174.6,150.3,1.1616766467065867,0.9603833865814697,0.9603833865814697,0.8963344788087056,4
33,34.0,162.1,179.7,147.7,1.2166553825321598,0.9111659469463294,0.9111659469463294,0.9020589872008904,4
34,35.0,159.5,179.7,148.6,1.2092866756393001,0.9316614420062695,0.9316614420062695,0.887590428491931,4
35,36.0,163.2,178.0,149.4,1.1914323962516733,0.9154411764705883,0.9154411764705883,0.9168539325842696,4
36,37.0,161.0,179.7,147.0,1.2224489795918367,0.9130434782608695,0.9130434782608695,0.895937673900946,4
37,38.0,166.2,183.9,148.7,1.2367182246133155,0.894705174488568,0.894705174488568,0.9037520391517128,4
38,39.0,167.6,186.4,148.7,1.2535305985205112,0.8872315035799522,0.8872315035799522,0.8991416309012875,4
39,40.0,166.9,188.1,145.5,1.2927835051546392,0.871779508687837,0.871779508687837,0.8872939925571505,4
40,41.0,169.2,187.2,147.1,1.2726036709721278,0.8693853427895981,0.8693853427895981,0.9038461538461539,4
41,42.0,162.3,153.7,144.6,1.0629322268326418,0.8909426987060998,0.9407937540663631,0.9470117067159579,3
42,43.0,149.7,152.8,147.1,1.0387491502379336,0.9826319305277221,0.9826319305277221,0.9797120418848166,4
43,44.0,152.1,149.5,146.2,1.0225718194254447,0.9612097304404996,0.9779264214046822,0.982905982905983,3
44,45.0,153.8,151.1,143.9,1.050034746351633,0.935630689206762,0.9523494374586368,0.9824447334200259,3
45,46.0,148.7,144.4,146.8,0.9836512261580381,0.9872225958305314,0.9836512261580381,0.9872225958305314,1
46,47.0,145.7,152.0,142.3,1.0681658468025297,0.9766643788606728,0.9766643788606728,0.9585526315789473,4
47,48.0,146.4,149.5,138.1,1.0825488776249095,0.9433060109289617,0.9433060109289617,0.9792642140468227,4
48,49.0,148.2,150.3,138.8,1.0828530259365994,0.9365721997300946,0.9365721997300946,0.9860279441117763,4
49,50.0,146.8,147.8,140.6,1.051209103840683,0.9577656675749318,0.9577656675749318,0.993234100135318,4
50,51.0,146.8,147.8,137.4,1.0756914119359535,0.9359673024523161,0.9359673024523161,0.993234100135318,4
51,52.0,146.1,148.6,137.2,1.0830903790087465,0.9390828199863107,0.9390828199863107,0.9831763122476447,4
52,53.0,146.7,149.5,137.2,1.089650145772595,0.9352419904567144,0.9352419904567144,0.9812709030100334,4
53,54.0,150.5,151.1,135.6,1.114306784660767,0.9009966777408638,0.9009966777408638,0.9960291197882197,4
54,55.0,143.1,151.1,138.8,1.0886167146974062,0.9699510831586304,0.9699510831586304,0.9470549305095963,4
55,56.0,149.7,152.8,138.1,1.106444605358436,0.9225116900467603,0.9225116900467603,0.9797120418848166,4
56,57.0,143.9,152.0,140.6,1.0810810810810811,0.9770674079221681,0.9770674079221681,0.9467105263157896,4
57,58.0,147.6,152.8,143.0,1.0685314685314686,0.9688346883468835,0.9688346883468835,0.9659685863874344,4
58,59.0,145.3,152.8,143.8,1.062586926286509,0.9896765313145217,0.9896765313145217,0.9509162303664922,4
59,60.0,144.6,155.3,142.2,1.0921237693389594,0.983402489626556,0.983402489626556,0.9311010946555054,4
60,61.0,147.9,156.2,143.8,1.086230876216968,0.9722785665990534,0.9722785665990534,0.9468629961587709,4
61,62.0,145.6,157.9,146.2,1.0800273597811219,1.004120879120879,0.9958960328317373,0.9259024699176693,6
62,63.0,149.0,159.5,145.4,1.0969738651994498,0.9758389261744966,0.9758389261744966,0.9341692789968652,4
63,64.0,150.5,160.4,148.5,1.0801346801346803,0.9867109634551495,0.9867109634551495,0.9382793017456359,4
64,65.0,150.9,165.4,147.1,1.1244051665533652,0.9748177601060304,0.9748177601060304,0.9123337363966143,4
65,66.0,149.0,162.9,148.5,1.096969696969697,0.9966442953020134,0.9966442953020134,0.9146715776550031,4
66,67.0,149.4,164.6,148.7,1.1069266980497647,0.9953145917001337,0.9953145917001337,0.9076549210206561,4
67,68.0,155.7,166.3,148.7,1.1183591123066579,0.9550417469492614,0.9550417469492614,0.9362597714972939,4
68,69.0,152.4,167.1,150.1,1.1132578281145902,0.9849081364829395,0.9849081364829395,0.9120287253141832,4
69,70.0,153.5,167.9,150.3,1.117099135063207,0.9791530944625408,0.9791530944625408,0.9142346634901727,4
70,71.0,155.7,172.1,153.5,1.121172638436482,0.9858702633269107,0.9858702633269107,0.904706565950029,4
71,72.0,157.2,173.0,150.1,1.1525649566955363,0.9548346055979644,0.9548346055979644,0.9086705202312138,4
72,73.0,156.1,173.8,149.4,1.1633199464524766,0.9570787956438181,0.9570787956438181,0.8981588032220943,4
73,74.0,159.4,176.3,150.9,1.1683233929754804,0.9466750313676286,0.9466750313676286,0.9041406693136699,4
74,75.0,160.3,176.3,147.8,1.1928281461434371,0.9220212102308172,0.9220212102308172,0.9092456040839478,4
75,76.0,158.7,176.3,152.0,1.1598684210526315,0.9577819785759295,0.9577819785759295,0.9001701644923424,4
76,77.0,161.3,180.5,148.7,1.2138533960995292,0.9218846869187848,0.9218846869187848,0.893628808864266,4
77,78.0,161.0,180.5,151.9,1.1882817643186305,0.9434782608695652,0.9434782608695652,0.8919667590027701,4
78,79.0,163.2,182.2,148.7,1.2252858103564224,0.9111519607843137,0.9111519607843137,0.8957189901207464,4
79,80.0,163.5,184.7,148.7,1.242098184263618,0.909480122324159,0.909480122324159,0.8852192744991879,4
80,81.0,165.4,186.4,147.1,1.2671651937457513,0.8893591293833131,0.8893591293833131,0.8873390557939914,4
81,82.0,166.2,186.4,147.1,1.2671651937457513,0.8850782190132371,0.8850782190132371,0.8916309012875535,4
82,83.0,151.2,150.3,151.9,0.989466754443713,1.0046296296296298,0.9940476190476192,0.9953917050691243,2
83,84.0,152.0,151.1,143.8,1.0507649513212793,0.9460526315789475,0.9516876240900067,0.9940789473684211,3
